"","date","hits","keyword","geo","time","gprop","category"
"126",2019-05-26,49,"Bird","GB","2017-01-01 2021-01-01","web",0
"127",2019-06-02,43,"Bird","GB","2017-01-01 2021-01-01","web",0
"128",2019-06-09,44,"Bird","GB","2017-01-01 2021-01-01","web",0
"129",2019-06-16,44,"Bird","GB","2017-01-01 2021-01-01","web",0
"130",2019-06-23,44,"Bird","GB","2017-01-01 2021-01-01","web",0
"131",2019-06-30,42,"Bird","GB","2017-01-01 2021-01-01","web",0
"132",2019-07-07,40,"Bird","GB","2017-01-01 2021-01-01","web",0
"133",2019-07-14,39,"Bird","GB","2017-01-01 2021-01-01","web",0
"134",2019-07-21,36,"Bird","GB","2017-01-01 2021-01-01","web",0
"135",2019-07-28,37,"Bird","GB","2017-01-01 2021-01-01","web",0
"136",2019-08-04,36,"Bird","GB","2017-01-01 2021-01-01","web",0
"137",2019-08-11,38,"Bird","GB","2017-01-01 2021-01-01","web",0
"138",2019-08-18,36,"Bird","GB","2017-01-01 2021-01-01","web",0
"139",2019-08-25,37,"Bird","GB","2017-01-01 2021-01-01","web",0
"140",2019-09-01,33,"Bird","GB","2017-01-01 2021-01-01","web",0
"141",2019-09-08,34,"Bird","GB","2017-01-01 2021-01-01","web",0
"142",2019-09-15,35,"Bird","GB","2017-01-01 2021-01-01","web",0
"143",2019-09-22,33,"Bird","GB","2017-01-01 2021-01-01","web",0
"144",2019-09-29,33,"Bird","GB","2017-01-01 2021-01-01","web",0
"145",2019-10-06,35,"Bird","GB","2017-01-01 2021-01-01","web",0
"146",2019-10-13,36,"Bird","GB","2017-01-01 2021-01-01","web",0
"147",2019-10-20,33,"Bird","GB","2017-01-01 2021-01-01","web",0
"148",2019-10-27,34,"Bird","GB","2017-01-01 2021-01-01","web",0
"149",2019-11-03,34,"Bird","GB","2017-01-01 2021-01-01","web",0
"150",2019-11-10,35,"Bird","GB","2017-01-01 2021-01-01","web",0
"151",2019-11-17,39,"Bird","GB","2017-01-01 2021-01-01","web",0
"152",2019-11-24,35,"Bird","GB","2017-01-01 2021-01-01","web",0
"153",2019-12-01,34,"Bird","GB","2017-01-01 2021-01-01","web",0
"154",2019-12-08,36,"Bird","GB","2017-01-01 2021-01-01","web",0
"155",2019-12-15,35,"Bird","GB","2017-01-01 2021-01-01","web",0
"156",2019-12-22,38,"Bird","GB","2017-01-01 2021-01-01","web",0
"157",2019-12-29,37,"Bird","GB","2017-01-01 2021-01-01","web",0
"158",2020-01-05,38,"Bird","GB","2017-01-01 2021-01-01","web",0
"159",2020-01-12,40,"Bird","GB","2017-01-01 2021-01-01","web",0
"160",2020-01-19,38,"Bird","GB","2017-01-01 2021-01-01","web",0
"161",2020-01-26,40,"Bird","GB","2017-01-01 2021-01-01","web",0
"162",2020-02-02,39,"Bird","GB","2017-01-01 2021-01-01","web",0
"163",2020-02-09,38,"Bird","GB","2017-01-01 2021-01-01","web",0
"164",2020-02-16,37,"Bird","GB","2017-01-01 2021-01-01","web",0
"165",2020-02-23,37,"Bird","GB","2017-01-01 2021-01-01","web",0
"166",2020-03-01,39,"Bird","GB","2017-01-01 2021-01-01","web",0
"167",2020-03-08,39,"Bird","GB","2017-01-01 2021-01-01","web",0
"168",2020-03-15,41,"Bird","GB","2017-01-01 2021-01-01","web",0
"169",2020-03-22,44,"Bird","GB","2017-01-01 2021-01-01","web",0
"170",2020-03-29,50,"Bird","GB","2017-01-01 2021-01-01","web",0
"171",2020-04-05,62,"Bird","GB","2017-01-01 2021-01-01","web",0
"172",2020-04-12,62,"Bird","GB","2017-01-01 2021-01-01","web",0
"173",2020-04-19,63,"Bird","GB","2017-01-01 2021-01-01","web",0
"174",2020-04-26,62,"Bird","GB","2017-01-01 2021-01-01","web",0
"175",2020-05-03,72,"Bird","GB","2017-01-01 2021-01-01","web",0
"176",2020-05-10,63,"Bird","GB","2017-01-01 2021-01-01","web",0
"177",2020-05-17,68,"Bird","GB","2017-01-01 2021-01-01","web",0
"178",2020-05-24,74,"Bird","GB","2017-01-01 2021-01-01","web",0
"179",2020-05-31,64,"Bird","GB","2017-01-01 2021-01-01","web",0
"180",2020-06-07,65,"Bird","GB","2017-01-01 2021-01-01","web",0
"181",2020-06-14,61,"Bird","GB","2017-01-01 2021-01-01","web",0
"182",2020-06-21,53,"Bird","GB","2017-01-01 2021-01-01","web",0
"183",2020-06-28,48,"Bird","GB","2017-01-01 2021-01-01","web",0
"184",2020-07-05,47,"Bird","GB","2017-01-01 2021-01-01","web",0
"185",2020-07-12,48,"Bird","GB","2017-01-01 2021-01-01","web",0
"186",2020-07-19,53,"Bird","GB","2017-01-01 2021-01-01","web",0
"187",2020-07-26,42,"Bird","GB","2017-01-01 2021-01-01","web",0
"188",2020-08-02,41,"Bird","GB","2017-01-01 2021-01-01","web",0
"189",2020-08-09,41,"Bird","GB","2017-01-01 2021-01-01","web",0
"190",2020-08-16,40,"Bird","GB","2017-01-01 2021-01-01","web",0
"191",2020-08-23,39,"Bird","GB","2017-01-01 2021-01-01","web",0
"192",2020-08-30,37,"Bird","GB","2017-01-01 2021-01-01","web",0
"193",2020-09-06,40,"Bird","GB","2017-01-01 2021-01-01","web",0
"194",2020-09-13,41,"Bird","GB","2017-01-01 2021-01-01","web",0
"195",2020-09-20,36,"Bird","GB","2017-01-01 2021-01-01","web",0
"196",2020-09-27,35,"Bird","GB","2017-01-01 2021-01-01","web",0
"197",2020-10-04,35,"Bird","GB","2017-01-01 2021-01-01","web",0
"198",2020-10-11,36,"Bird","GB","2017-01-01 2021-01-01","web",0
"199",2020-10-18,38,"Bird","GB","2017-01-01 2021-01-01","web",0
"200",2020-10-25,40,"Bird","GB","2017-01-01 2021-01-01","web",0
"201",2020-11-01,37,"Bird","GB","2017-01-01 2021-01-01","web",0
"202",2020-11-08,39,"Bird","GB","2017-01-01 2021-01-01","web",0
"203",2020-11-15,40,"Bird","GB","2017-01-01 2021-01-01","web",0
"204",2020-11-22,39,"Bird","GB","2017-01-01 2021-01-01","web",0
"205",2020-11-29,44,"Bird","GB","2017-01-01 2021-01-01","web",0
"206",2020-12-06,43,"Bird","GB","2017-01-01 2021-01-01","web",0
"207",2020-12-13,40,"Bird","GB","2017-01-01 2021-01-01","web",0
"208",2020-12-20,42,"Bird","GB","2017-01-01 2021-01-01","web",0
"209",2020-12-27,43,"Bird","GB","2017-01-01 2021-01-01","web",0
"210",2017-01-01,7,"Hunting","GB","2017-01-01 2021-01-01","web",0
"211",2017-01-08,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"212",2017-01-15,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"213",2017-01-22,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"214",2017-01-29,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"215",2017-02-05,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"216",2017-02-12,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"217",2017-02-19,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"218",2017-02-26,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"219",2017-03-05,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"220",2017-03-12,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"221",2017-03-19,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"222",2017-03-26,4,"Hunting","GB","2017-01-01 2021-01-01","web",0
"223",2017-04-02,4,"Hunting","GB","2017-01-01 2021-01-01","web",0
"224",2017-04-09,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"225",2017-04-16,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"226",2017-04-23,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"227",2017-04-30,4,"Hunting","GB","2017-01-01 2021-01-01","web",0
"228",2017-05-07,12,"Hunting","GB","2017-01-01 2021-01-01","web",0
"229",2017-05-14,8,"Hunting","GB","2017-01-01 2021-01-01","web",0
"230",2017-05-21,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"231",2017-05-28,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"232",2017-06-04,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"233",2017-06-11,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"234",2017-06-18,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"235",2017-06-25,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"236",2017-07-02,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"237",2017-07-09,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"238",2017-07-16,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"239",2017-07-23,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"240",2017-07-30,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"241",2017-08-06,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"242",2017-08-13,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"243",2017-08-20,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"244",2017-08-27,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"245",2017-09-03,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"246",2017-09-10,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"247",2017-09-17,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"248",2017-09-24,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"249",2017-10-01,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"250",2017-10-08,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"251",2017-10-15,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"252",2017-10-22,7,"Hunting","GB","2017-01-01 2021-01-01","web",0
"253",2017-10-29,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"254",2017-11-05,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"255",2017-11-12,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"256",2017-11-19,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"257",2017-11-26,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"258",2017-12-03,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"259",2017-12-10,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"260",2017-12-17,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"261",2017-12-24,9,"Hunting","GB","2017-01-01 2021-01-01","web",0
"262",2017-12-31,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"263",2018-01-07,7,"Hunting","GB","2017-01-01 2021-01-01","web",0
"264",2018-01-14,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"265",2018-01-21,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"266",2018-01-28,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"267",2018-02-04,7,"Hunting","GB","2017-01-01 2021-01-01","web",0
"268",2018-02-11,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"269",2018-02-18,7,"Hunting","GB","2017-01-01 2021-01-01","web",0
"270",2018-02-25,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"271",2018-03-04,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"272",2018-03-11,4,"Hunting","GB","2017-01-01 2021-01-01","web",0
"273",2018-03-18,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"274",2018-03-25,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"275",2018-04-01,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"276",2018-04-08,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"277",2018-04-15,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"278",2018-04-22,4,"Hunting","GB","2017-01-01 2021-01-01","web",0
"279",2018-04-29,4,"Hunting","GB","2017-01-01 2021-01-01","web",0
"280",2018-05-06,4,"Hunting","GB","2017-01-01 2021-01-01","web",0
"281",2018-05-13,4,"Hunting","GB","2017-01-01 2021-01-01","web",0
"282",2018-05-20,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"283",2018-05-27,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"284",2018-06-03,4,"Hunting","GB","2017-01-01 2021-01-01","web",0
"285",2018-06-10,4,"Hunting","GB","2017-01-01 2021-01-01","web",0
"286",2018-06-17,4,"Hunting","GB","2017-01-01 2021-01-01","web",0
"287",2018-06-24,3,"Hunting","GB","2017-01-01 2021-01-01","web",0
"288",2018-07-01,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"289",2018-07-08,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"290",2018-07-15,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"291",2018-07-22,4,"Hunting","GB","2017-01-01 2021-01-01","web",0
"292",2018-07-29,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"293",2018-08-05,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"294",2018-08-12,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"295",2018-08-19,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"296",2018-08-26,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"297",2018-09-02,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"298",2018-09-09,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"299",2018-09-16,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"300",2018-09-23,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"301",2018-09-30,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"302",2018-10-07,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"303",2018-10-14,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"304",2018-10-21,7,"Hunting","GB","2017-01-01 2021-01-01","web",0
"305",2018-10-28,8,"Hunting","GB","2017-01-01 2021-01-01","web",0
"306",2018-11-04,9,"Hunting","GB","2017-01-01 2021-01-01","web",0
"307",2018-11-11,7,"Hunting","GB","2017-01-01 2021-01-01","web",0
"308",2018-11-18,7,"Hunting","GB","2017-01-01 2021-01-01","web",0
"309",2018-11-25,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"310",2018-12-02,7,"Hunting","GB","2017-01-01 2021-01-01","web",0
"311",2018-12-09,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"312",2018-12-16,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"313",2018-12-23,9,"Hunting","GB","2017-01-01 2021-01-01","web",0
"314",2018-12-30,7,"Hunting","GB","2017-01-01 2021-01-01","web",0
"315",2019-01-06,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"316",2019-01-13,7,"Hunting","GB","2017-01-01 2021-01-01","web",0
"317",2019-01-20,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"318",2019-01-27,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"319",2019-02-03,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"320",2019-02-10,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"321",2019-02-17,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"322",2019-02-24,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"323",2019-03-03,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"324",2019-03-10,4,"Hunting","GB","2017-01-01 2021-01-01","web",0
"325",2019-03-17,4,"Hunting","GB","2017-01-01 2021-01-01","web",0
"326",2019-03-24,4,"Hunting","GB","2017-01-01 2021-01-01","web",0
"327",2019-03-31,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"328",2019-04-07,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"329",2019-04-14,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"330",2019-04-21,4,"Hunting","GB","2017-01-01 2021-01-01","web",0
"331",2019-04-28,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"332",2019-05-05,4,"Hunting","GB","2017-01-01 2021-01-01","web",0
"333",2019-05-12,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"334",2019-05-19,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"335",2019-05-26,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"336",2019-06-02,4,"Hunting","GB","2017-01-01 2021-01-01","web",0
"337",2019-06-09,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"338",2019-06-16,4,"Hunting","GB","2017-01-01 2021-01-01","web",0
"339",2019-06-23,4,"Hunting","GB","2017-01-01 2021-01-01","web",0
"340",2019-06-30,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"341",2019-07-07,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"342",2019-07-14,4,"Hunting","GB","2017-01-01 2021-01-01","web",0
